epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,1269.72,1.15249,1.01986,1.07657,0.72305,0.44789,0.46704,0.3449,1.24908,1.03887,1.02883,0.007327,0.007327,0.007327
137,1278.87,1.14329,1.01559,1.08073,0.72647,0.44633,0.46735,0.34524,1.24913,1.03868,1.02891,0.0073072,0.0073072,0.0073072
138,1288.06,1.13444,1.00178,1.07353,0.72719,0.44712,0.46734,0.34665,1.24833,1.03773,1.0284,0.0072874,0.0072874,0.0072874
139,1297.24,1.14927,1.00918,1.0754,0.72434,0.44349,0.46591,0.34757,1.24796,1.03724,1.02858,0.0072676,0.0072676,0.0072676
140,1306.42,1.14542,1.01327,1.07855,0.72715,0.44857,0.46674,0.34793,1.2467,1.03679,1.02836,0.0072478,0.0072478,0.0072478
141,1315.59,1.14304,1.00696,1.07308,0.72764,0.44837,0.46799,0.34889,1.24622,1.0365,1.02816,0.007228,0.007228,0.007228
142,1324.78,1.1357,1.00209,1.07059,0.73409,0.44752,0.46853,0.34903,1.24426,1.0343,1.02754,0.0072082,0.0072082,0.0072082
143,1333.96,1.13841,1.00204,1.07436,0.73618,0.44549,0.46845,0.34754,1.24335,1.034,1.02668,0.0071884,0.0071884,0.0071884
144,1343.13,1.14203,1.00666,1.07104,0.73609,0.44579,0.46851,0.34753,1.24361,1.0331,1.02692,0.0071686,0.0071686,0.0071686
145,1352.34,1.14581,1.00996,1.07159,0.74238,0.44515,0.46855,0.34735,1.24209,1.03183,1.02559,0.0071488,0.0071488,0.0071488
146,1361.52,1.14448,1.01524,1.07504,0.74542,0.44448,0.46921,0.34741,1.24074,1.03003,1.02507,0.007129,0.007129,0.007129
147,1370.7,1.13008,0.99338,1.06968,0.74547,0.44483,0.4692,0.34851,1.24002,1.02849,1.02463,0.0071092,0.0071092,0.0071092
148,1379.88,1.14061,0.99789,1.07253,0.74656,0.44179,0.46778,0.34715,1.23946,1.02784,1.02445,0.0070894,0.0070894,0.0070894
149,1389.04,1.12447,0.98913,1.06563,0.74921,0.4407,0.46813,0.3473,1.23857,1.02759,1.02409,0.0070696,0.0070696,0.0070696
150,1398.2,1.1303,0.99734,1.06976,0.75549,0.4433,0.47073,0.34823,1.23834,1.02602,1.02353,0.0070498,0.0070498,0.0070498
151,1407.4,1.13554,0.99246,1.07134,0.75816,0.44268,0.47051,0.34851,1.23741,1.02534,1.02281,0.00703,0.00703,0.00703
152,1416.58,1.12928,0.99454,1.06453,0.75819,0.44307,0.47092,0.34824,1.23691,1.02501,1.02269,0.0070102,0.0070102,0.0070102
153,1425.74,1.14126,0.9965,1.06996,0.7677,0.44193,0.47075,0.34794,1.23708,1.02382,1.02255,0.0069904,0.0069904,0.0069904
154,1434.93,1.1258,0.98499,1.06416,0.77442,0.43836,0.47052,0.3481,1.23674,1.02281,1.02223,0.0069706,0.0069706,0.0069706
155,1444.12,1.12814,0.98691,1.0628,0.77592,0.43815,0.47404,0.34974,1.23581,1.02193,1.02186,0.0069508,0.0069508,0.0069508
156,1453.39,1.13626,0.99019,1.06728,0.7775,0.43648,0.47406,0.34995,1.23567,1.02073,1.02197,0.006931,0.006931,0.006931
157,1462.66,1.12129,0.98216,1.06189,0.78068,0.43211,0.47261,0.34974,1.23481,1.02043,1.02158,0.0069112,0.0069112,0.0069112
158,1471.85,1.12597,0.98438,1.0685,0.78068,0.43267,0.47501,0.35132,1.23457,1.01937,1.02121,0.0068914,0.0068914,0.0068914
159,1481.07,1.13505,0.98905,1.06627,0.77776,0.43207,0.47529,0.35183,1.23374,1.01848,1.02095,0.0068716,0.0068716,0.0068716
160,1490.34,1.11766,0.98203,1.06272,0.77725,0.43162,0.47549,0.35194,1.23272,1.01796,1.02048,0.0068518,0.0068518,0.0068518
161,1499.59,1.12128,0.97997,1.06394,0.77823,0.43128,0.47576,0.35248,1.23259,1.01783,1.02023,0.006832,0.006832,0.006832
162,1508.84,1.15041,0.99525,1.06957,0.78031,0.43175,0.47622,0.35277,1.23246,1.01794,1.01997,0.0068122,0.0068122,0.0068122
163,1518.07,1.12126,0.9724,1.06268,0.78183,0.43193,0.47671,0.35329,1.23204,1.01793,1.02,0.0067924,0.0067924,0.0067924
164,1527.34,1.13228,0.98501,1.06285,0.78478,0.43105,0.47665,0.35341,1.23188,1.01681,1.0197,0.0067726,0.0067726,0.0067726
165,1536.55,1.1325,0.97895,1.06211,0.7853,0.43242,0.4764,0.35394,1.23139,1.01696,1.01919,0.0067528,0.0067528,0.0067528
166,1545.77,1.13572,0.98587,1.06656,0.78676,0.43162,0.47653,0.35427,1.23088,1.01635,1.01867,0.006733,0.006733,0.006733
167,1554.95,1.11302,0.97458,1.06116,0.78791,0.43191,0.47642,0.35444,1.23024,1.01576,1.01865,0.0067132,0.0067132,0.0067132
168,1564.15,1.10984,0.96957,1.06774,0.78905,0.43023,0.47631,0.35419,1.23038,1.01538,1.0189,0.0066934,0.0066934,0.0066934
169,1573.33,1.11902,0.97466,1.0643,0.78696,0.42952,0.47665,0.35428,1.22984,1.01449,1.01851,0.0066736,0.0066736,0.0066736
170,1582.49,1.11597,0.96614,1.06116,0.78909,0.42771,0.4766,0.35467,1.22942,1.01369,1.01825,0.0066538,0.0066538,0.0066538
171,1591.69,1.13043,0.97578,1.06105,0.78906,0.42685,0.47685,0.35411,1.22894,1.01295,1.01805,0.006634,0.006634,0.006634
172,1600.85,1.10444,0.96062,1.05375,0.78687,0.42756,0.47673,0.35448,1.22901,1.01419,1.01788,0.0066142,0.0066142,0.0066142
173,1610.03,1.13241,0.98531,1.06457,0.78645,0.42677,0.47638,0.3543,1.22791,1.01398,1.01776,0.0065944,0.0065944,0.0065944
174,1619.2,1.1036,0.95928,1.05755,0.78437,0.42733,0.4763,0.35414,1.22789,1.01386,1.01747,0.0065746,0.0065746,0.0065746
175,1628.38,1.12651,0.96952,1.061,0.78546,0.42693,0.47824,0.35504,1.22767,1.01405,1.01755,0.0065548,0.0065548,0.0065548
176,1637.59,1.11591,0.96719,1.05672,0.78712,0.42633,0.47831,0.35525,1.2273,1.01323,1.01718,0.006535,0.006535,0.006535
177,1646.79,1.11766,0.96626,1.05816,0.78586,0.42648,0.47797,0.35489,1.22693,1.0131,1.01705,0.0065152,0.0065152,0.0065152
178,1655.96,1.12228,0.95937,1.06142,0.78473,0.4266,0.4783,0.35561,1.2264,1.01224,1.01663,0.0064954,0.0064954,0.0064954
179,1665.17,1.11802,0.96928,1.05967,0.7855,0.4265,0.47796,0.35598,1.22587,1.01303,1.0166,0.0064756,0.0064756,0.0064756
180,1674.38,1.11684,0.95131,1.05519,0.78624,0.42563,0.47833,0.35585,1.22537,1.01231,1.01642,0.0064558,0.0064558,0.0064558
